strength,status,height,strain_rate,material,stacking
213.6,1,0,0.0083,GFRP,0/90/30/-60
219.15,1,0,0.0083,GFRP,0/90/30/-60
224.4,1,0,0.0083,GFRP,0/90/30/-60
165.16,1,0,0.0083,GFRP,0/90/45/-45
174.54,1,0,0.0083,GFRP,0/90/45/-45
181.67,1,0,0.0083,GFRP,0/90/45/-45
103.25,1,0,0.0083,GFRP,30/-60/60/-30
111.66,1,0,0.0083,GFRP,30/-60/60/-30
118.84,1,0,0.0083,GFRP,30/-60/60/-30
262.68,1,0.25,221,GFRP,0/90/30/-60
269.16,1,0.25,221,GFRP,0/90/30/-60
273.98,1,0.25,221,GFRP,0/90/30/-60
191.14,1,0.25,221,GFRP,0/90/45/-45
208.76,1,0.25,221,GFRP,0/90/45/-45
225.86,1,0.25,221,GFRP,0/90/45/-45
149,1,0.25,221,GFRP,30/-60/60/-30
156,1,0.25,221,GFRP,30/-60/60/-30
162.55,1,0.25,221,GFRP,30/-60/60/-30
266.41,1,0.5,313,GFRP,0/90/30/-60
286.22,1,0.5,313,GFRP,0/90/30/-60
304.7,1,0.5,313,GFRP,0/90/30/-60
228.86,1,0.5,313,GFRP,0/90/45/-45
252.23,1,0.5,313,GFRP,0/90/45/-45
267.45,1,0.5,313,GFRP,0/90/45/-45
152.95,1,0.5,313,GFRP,30/-60/60/-30
157.55,1,0.5,313,GFRP,30/-60/60/-30
161,1,0.5,313,GFRP,30/-60/60/-30
305.61,1,0.75,384,GFRP,0/90/30/-60
323.88,1,0.75,384,GFRP,0/90/30/-60
336.75,1,0.75,384,GFRP,0/90/30/-60
278.5,1,0.75,384,GFRP,0/90/45/-45
288.52,1,0.75,384,GFRP,0/90/45/-45
295.96,1,0.75,384,GFRP,0/90/45/-45
157.8,1,0.75,384,GFRP,30/-60/60/-30
160.45,1,0.75,384,GFRP,30/-60/60/-30
162.56,1,0.75,384,GFRP,30/-60/60/-30
350.69,1,1,443,GFRP,0/90/30/-60
358.55,1,1,443,GFRP,0/90/30/-60
364.59,1,1,443,GFRP,0/90/30/-60
283.74,1,1,443,GFRP,0/90/45/-45
292,1,1,443,GFRP,0/90/45/-45
300.88,1,1,443,GFRP,0/90/45/-45
162.5,1,1,443,GFRP,30/-60/60/-30
168,1,1,443,GFRP,30/-60/60/-30
171.87,1,1,443,GFRP,30/-60/60/-30
355.48,1,1.25,495,GFRP,0/90/30/-60
378.78,1,1.25,495,GFRP,0/90/30/-60
402.17,1,1.25,495,GFRP,0/90/30/-60
296.26,1,1.25,495,GFRP,0/90/45/-45
302.85,1,1.25,495,GFRP,0/90/45/-45
308,1,1.25,495,GFRP,0/90/45/-45
174.16,1,1.25,495,GFRP,30/-60/60/-30
176.2,1,1.25,495,GFRP,30/-60/60/-30
177.6,1,1.25,495,GFRP,30/-60/60/-30
346.77,1,1.5,542,GFRP,0/90/30/-60
383,1,1.5,542,GFRP,0/90/30/-60
417.68,1,1.5,542,GFRP,0/90/30/-60
310.76,1,1.5,542,GFRP,0/90/45/-45
316.89,1,1.5,542,GFRP,0/90/45/-45
321.3,1,1.5,542,GFRP,0/90/45/-45
181.5,1,1.5,542,GFRP,30/-60/60/-30
183.63,1,1.5,542,GFRP,30/-60/60/-30
185.25,1,1.5,542,GFRP,30/-60/60/-30
282,1,0,0.0083,CFRP,0/90/30/-60
303,1,0,0.0083,CFRP,0/90/30/-60
317,1,0,0.0083,CFRP,0/90/30/-60
254.92,1,0,0.0083,CFRP,0/90/45/-45
272.85,1,0,0.0083,CFRP,0/90/45/-45
290.14,1,0,0.0083,CFRP,0/90/45/-45
109.2,1,0,0.0083,CFRP,30/-60/60/-30
117.9,1,0,0.0083,CFRP,30/-60/60/-30
126.25,1,0,0.0083,CFRP,30/-60/60/-30
350,1,0.25,221,CFRP,0/90/30/-60
369,1,0.25,221,CFRP,0/90/30/-60
387.17,1,0.25,221,CFRP,0/90/30/-60
344.66,1,0.25,221,CFRP,0/90/45/-45
353.92,1,0.25,221,CFRP,0/90/45/-45
362.58,1,0.25,221,CFRP,0/90/45/-45
135,1,0.25,221,CFRP,30/-60/60/-30
148,1,0.25,221,CFRP,30/-60/60/-30
155,1,0.25,221,CFRP,30/-60/60/-30
377.13,1,0.5,313,CFRP,0/90/30/-60
391.54,1,0.5,313,CFRP,0/90/30/-60
405.21,1,0.5,313,CFRP,0/90/30/-60
365.7,1,0.5,313,CFRP,0/90/45/-45
371.14,1,0.5,313,CFRP,0/90/45/-45
378.86,1,0.5,313,CFRP,0/90/45/-45
151,1,0.5,313,CFRP,30/-60/60/-30
156,1,0.5,313,CFRP,30/-60/60/-30
160.94,1,0.5,313,CFRP,30/-60/60/-30
403.06,1,0.75,384,CFRP,0/90/30/-60
418.93,1,0.75,384,CFRP,0/90/30/-60
433.11,1,0.75,384,CFRP,0/90/30/-60
375.85,1,0.75,384,CFRP,0/90/45/-45
388.94,1,0.75,384,CFRP,0/90/45/-45
400.1,1,0.75,384,CFRP,0/90/45/-45
152.91,1,0.75,384,CFRP,30/-60/60/-30
163.5,1,0.75,384,CFRP,30/-60/60/-30
169.82,1,0.75,384,CFRP,30/-60/60/-30
420.77,1,1,443,CFRP,0/90/30/-60
427.62,1,1,443,CFRP,0/90/30/-60
433.8,1,1,443,CFRP,0/90/30/-60
376.34,1,1,443,CFRP,0/90/45/-45
400,1,1,443,CFRP,0/90/45/-45
414.54,1,1,443,CFRP,0/90/45/-45
166.16,1,1,443,CFRP,30/-60/60/-30
169,1,1,443,CFRP,30/-60/60/-30
171,1,1,443,CFRP,30/-60/60/-30
429.63,1,1.25,495,CFRP,0/90/30/-60
445,1,1.25,495,CFRP,0/90/30/-60
456.72,1,1.25,495,CFRP,0/90/30/-60
395.72,1,1.25,495,CFRP,0/90/45/-45
408.52,1,1.25,495,CFRP,0/90/45/-45
421.63,1,1.25,495,CFRP,0/90/45/-45
167.8,1,1.25,495,CFRP,30/-60/60/-30
171.8,1,1.25,495,CFRP,30/-60/60/-30
174.83,1,1.25,495,CFRP,30/-60/60/-30
432.88,1,1.5,542,CFRP,0/90/30/-60
454.36,1,1.5,542,CFRP,0/90/30/-60
467.88,1,1.5,542,CFRP,0/90/30/-60
408.73,1,1.5,542,CFRP,0/90/45/-45
423.33,1,1.5,542,CFRP,0/90/45/-45
435.96,1,1.5,542,CFRP,0/90/45/-45
172.44,1,1.5,542,CFRP,30/-60/60/-30
174.39,1,1.5,542,CFRP,30/-60/60/-30
176,1,1.5,542,CFRP,30/-60/60/-30
